Apartments in Mumbai,,,,,,
Owner_info,BHK_Info,Price,Locality,Area in Sqft,Construction status,Price per/sqft
AGENT,2, 97.56 L,Thane West,713,Ready to move,"13,684 / sq ft"
AGENT,2, 74.57 L,Thane West,545,Ready to move,"13,708 / sq ft"
AGENT,2, 1.01 Cr,Thane West,744,Ready to move,"13,688 / sq ft"
AGENT,2, 87.03 L,Thane West,636,Ready to move,"13,684 / sq ft"
AGENT,2, 76.07 L,Thane West,556,Ready to move,"13,707 / sq ft"
AGENT,2, 1.94 Cr,Chembur,1050,Ready to move,"18,571 / sq ft"
AGENT,2, 1.85 Cr,Powai,1100,Ready to move,"16,818 / sq ft"
AGENT,2, 1.22 Cr,Kanjurmarg,555,Under Construction,"22,000 / sq ft"
AGENT,2, 1.55 Cr,Kanjurmarg,707,Under Construction,"22,000 / sq ft"
AGENT,1, 1 Cr,Kanjurmarg,457,Under Construction,"22,000 / sq ft"
AGENT,2, 1.61 Cr,Kanjurmarg,732,Under Construction,"22,000 / sq ft"
AGENT,2, 1.19 Cr,Thane West,593,Under Construction,"20,270 / sq ft"
AGENT,2, 98.99 L,Thane West,562,Under Construction,"17,647 / sq ft"
AGENT,3, 2.76 Cr,Thane West,1205,Under Construction,"22,972 / sq ft"
AGENT,5, 5.32 Cr,Thane West,2360,Under Construction,"22,561 / sq ft"
AGENT,4, 4.42 Cr,Thane West,1910,Under Construction,"23,174 / sq ft"
AGENT,4, 3.64 Cr,Thane West,1569,Under Construction,"23,217 / sq ft"
AGENT,2, 82 L,kasaradavali thane west,775,Ready to move,"10,580 / sq ft"
AGENT,2, 95 L,Ghansoli,900,Under Construction,"10,555 / sq ft"
AGENT,1, 45 L,Vasai,960,Ready to move,"4,687 / sq ft"
AGENT,3, 1.57 Cr,Borivali West,1280,Ready to move,"12,265 / sq ft"
AGENT,2, 90 L,Gulal Wadi,1250,Ready to move,"7,200 / sq ft"
AGENT,2, 95 L,Kandivali East,660,Ready to move,"14,393 / sq ft"
AGENT,2, 1.7 Cr,Kandivali East,1120,Ready to move,"15,178 / sq ft"
AGENT,2, 43 L,Andheri West,774,Ready to move,"5,555 / sq ft"
AGENT,1, 61 L,Kandivali East,400,Ready to move,"15,250 / sq ft"
AGENT,2, 1.35 Cr,Airoli,1245,Ready to move,"10,843 / sq ft"
AGENT,1, 27 L,Naigaon East,560,Ready to move,"4,821 / sq ft"
AGENT,2, 40 L,Naigaon East,650,Ready to move,"6,153 / sq ft"
AGENT,2, 47.8 L,Vasai,639,Under Construction,"7,480 / sq ft"
AGENT,2, 46.5 L,Vasai,636,Under Construction,"7,311 / sq ft"
AGENT,1, 34 L,Vasai,460,Under Construction,"7,391 / sq ft"
AGENT,1, 28 L,Naigaon East,296,Under Construction,"9,459 / sq ft"
AGENT,2, 49.91 L,Naigaon East,428,Under Construction,"11,662 / sq ft"
AGENT,1, 30 L,Naigaon East,303,Under Construction,"9,900 / sq ft"
AGENT,2, 47.93 L,Naigaon East,411,Under Construction,"11,662 / sq ft"
AGENT,1, 34 L,Naigaon East,327,Under Construction,"10,397 / sq ft"
AGENT,1, 28 L,Vasai,346,Under Construction,"8,092 / sq ft"
AGENT,1, 29 L,Naigaon East,247,Under Construction,"11,744 / sq ft"
AGENT,2, 50.26 L,Naigaon East,431,Under Construction,"11,662 / sq ft"
AGENT,2, 43.5 L,Vasai,543,Under Construction,"8,011 / sq ft"
AGENT,1, 28.51 L,Naigaon East,243,Under Construction,"11,735 / sq ft"
AGENT,2, 47.34 L,Naigaon East,406,Under Construction,"11,662 / sq ft"
AGENT,1, 29.09 L,Naigaon East,248,Under Construction,"11,731 / sq ft"
AGENT,2, 42 L,Vasai,524,Under Construction,"8,015 / sq ft"
AGENT,1, 29 L,Naigaon East,301,Under Construction,"9,634 / sq ft"
AGENT,1, 28.63 L,Naigaon East,244,Under Construction,"11,736 / sq ft"
AGENT,1, 33.72 L,Naigaon East,322,Under Construction,"10,472 / sq ft"
AGENT,2, 47.46 L,Naigaon East,407,Under Construction,"11,662 / sq ft"
AGENT,2, 43.5 L,Naigaon East,570,Under Construction,"7,631 / sq ft"
AGENT,1, 31.75 L,Naigaon East,407,Under Construction,"7,800 / sq ft"
AGENT,1, 21.5 L,Badlapur East,628,Ready to move,"3,423 / sq ft"
AGENT,3, 96.25 L,Mira Road East,1350,Under Construction,"7,129 / sq ft"
AGENT,2, 1.1 Cr,Kandivali East,985,Ready to move,"11,269 / sq ft"
AGENT,3, 95 L,Mira Road East,1235,Ready to move,"7,692 / sq ft"
AGENT,2, 90 L,kasaradavali thane west,1050,Ready to move,"8,571 / sq ft"
AGENT,2, 95 L,Malad East,800,Under Construction,"11,875 / sq ft"
AGENT,3, 2.21 Cr,Malad East,1800,Ready to move,"12,277 / sq ft"
AGENT,2, 80 L,Kalyan West,830,Ready to move,"9,638 / sq ft"
AGENT,2, 65 L,Kalyan West,900,Ready to move,"7,222 / sq ft"
OWNER,3, 2.6 Cr,Andheri West,1350,Ready to move,"19,259 / sq ft"
OWNER,1, 13.9 L,Neral,450,Under Construction,"3,088 / sq ft"
